sid,IEA0,IEA1
19144X,0.44347683,2.109952
23470M,0.8439409,0.2911986
14875L,-0.45196605,-0.045057334
19821N,-0.14146444,-0.480105
13501R,0.66746414,-0.51512975
21281Z,0.24954207,-0.47501308
13782Z,-0.94252855,-0.47848836
20202Y,0.014108999,2.9498549
15616S,-1.0578156,-0.73095286
20550V,0.035213392,0.6521713
21768B,0.9203814,-0.36606798
17954W,0.82948554,2.300364
10999J,-0.6099042,-0.42254844
10833B,0.09866214,1.4161003
15923B,0.13499041,0.180599
22497B,0.3615002,-0.2668838
21111A,-0.35297397,-0.9093763
16594N,-0.039575487,-0.6732985
17796E,1.638262,-0.49184117
17188H,0.6271414,1.1419283
15911U,-0.22448811,0.4508082
10065I,0.5548725,-0.23757994
20792T,1.8269622,-0.20503752
11518Y,-0.49031457,1.1754551
16755L,-2.0645058,-0.09264165
13429J,-0.577988,0.9806698
16004S,0.9628874,1.0976545
19524H,0.029435063,-0.7843226
13563N,1.6267487,-1.9627168
14580S,-0.37165043,-1.1882432
25537C,-1.567056,0.09215583
12180S,1.4485455,-0.37099987
20840E,0.053652357,-0.69457245
24653Z,0.20126984,0.37749964
18937B,-1.7247025,-0.32042092
11230C,-1.6497228,1.3721452
10164K,-0.7867997,0.67788583
15899E,-0.7709547,-1.1518047
12077Z,0.12872957,0.019866012
17284D,-1.295735,-0.16184719
20975B,0.5497352,-1.693113
10124Y,-0.25509658,0.34173757
23349R,-0.1301253,-0.5525568
12339D,-0.24261475,-2.0066948
25953Q,-0.63304025,2.4869628
13449P,2.5914452,-0.21556191
12020W,1.0310749,1.0440638
16527Y,-0.4424355,-0.6235239
20256V,0.50726444,0.16956383
16470V,-0.34399667,-0.4707059
15082H,1.5241098,1.6231645
15234E,0.18170187,0.54442686
22917X,0.313989,0.22925787
23124T,1.6697476,0.5877674
15637A,-1.3902663,-1.15571
21235S,0.2960204,2.2251105
23215W,-0.9075777,1.1232198
23125V,-0.31313685,1.8282611
13327B,-0.105176985,0.0782125
13586Z,2.0219455,-0.8118273
20213D,-1.8336575,-1.8646145
15960H,-0.60408163,0.2369972
10298F,0.20660627,-0.7703358
12469Q,1.7650709,-0.32158652
15116Y,0.167192,-0.3074515
22301K,-2.0615115,1.3045323
21713C,-0.5284243,-1.4213421
11860J,-0.46983355,0.9158475
12792X,-0.49631023,0.33006513
22636P,-1.2124295,1.9447616
12737P,1.3406632,0.16988239
14158J,0.13938968,1.5201752
20545C,-0.37498778,-1.054263
11755M,0.7505961,-1.4394414
13515C,2.0204844,0.6855835
23867N,-0.046764337,0.42278838
10060Y,2.1808918,0.5105655
21679C,-1.5113466,-0.13847317
24746G,0.9997587,0.6200923
14216X,-0.19427481,1.3987291
11927P,0.356405,-0.50658303
20804A,-0.28498608,-0.05776639
16506Q,1.3265724,-0.7838398
15792M,-0.25462142,0.1714814
17065R,0.85499513,0.9935242
12200Y,0.9237484,-0.64865476
12894F,-1.3290794,-0.6985662
11663H,2.384129,-0.87124664
21723F,1.293332,1.6057317
12273Z,1.8086855,-1.3327157
12574N,0.6933423,3.052699
12430P,-0.3448749,0.107027315
20784U,-0.52034676,3.506015
26092V,-2.0025213,0.106564045
10898D,-0.4349479,-0.28762323
15838K,0.11012374,0.79363334
15072E,-0.2184908,-0.6718513
17698E,-0.8249758,-0.8399339
13680R,-0.5821004,-0.25328675
22907U,1.8402561,0.23391366
19703H,0.70967656,1.4216384
20533V,1.4332592,-0.3520448
25458G,1.1484883,0.8061609
19024N,-0.11621946,-0.70711297
19642N,0.7903007,-0.50665206
22097L,0.49573985,1.0815649
13250S,-0.4188486,-0.72921383
19680V,-0.3659335,0.62802345
15221V,0.8851299,0.37626797
12094Z,1.103677,0.066057496
14469A,-0.07512858,1.6088183
14914V,-1.6753556,-1.6993843
18065W,0.36563817,0.041455217
20729M,0.9718083,-1.5295808
24235H,-0.11937432,0.10172786
15344L,-0.2102532,-0.08541148
19356M,0.32129937,-0.61702645
14261C,0.17018992,-0.07083188
19142T,-0.9926739,0.019997109
20230D,1.7385734,0.040010102
18901G,-0.540182,1.0914428
20346W,-0.6017213,-0.5695993
13108P,-0.6060722,0.45467144
13972E,0.79625094,1.1363351
13683X,-0.13649142,0.6655755
16353R,2.00504,-0.3971373
25024Z,-0.8083998,-0.8114918
18022E,-0.4549268,-0.3545344
22704G,0.013745981,0.073490515
21889N,0.0434659,1.4593589
22516F,2.0257154,-1.5216057
18046S,0.9820404,-0.9615551
13334Y,1.0725797,0.16367209
14104M,-2.0856667,0.069482744
21162R,1.7626537,-0.28375366
17663L,0.9225248,1.1706097
23916A,0.44875264,-0.39669275
23658E,-0.30112904,-0.1894495
19270C,-1.5955575,-1.3714123
10123W,-0.21548483,-0.5860566
24019B,-2.436562,0.04076523
15021N,-0.004663647,-0.034517754
13381H,-0.111424886,0.5990612
10052Z,0.6839583,-0.5468568
13261X,-0.5402742,-2.00602
11154M,-0.60352117,0.76339453
18990F,1.9174194,-0.49630466
19002D,1.9559376,1.1130598
22685C,-0.8246144,0.46649504
21453C,-0.52010137,-0.016279384
11428X,0.5740572,0.43720785
10695P,0.59977424,-0.45294636
24580Y,-0.667459,-0.65803754
15562V,-0.1458933,-0.55180544
12204G,1.5378966,-0.7430199
15090G,-0.10169754,2.519635
14778N,-1.4160239,0.08227782
12971X,-0.5086811,2.1989858
16675N,0.028821778,-1.3012493
10469G,1.5670044,-0.28621066
10263M,0.0020079769,0.16169909
17537G,-1.1827323,-0.651446
18193F,-0.33420283,-0.2818467
16367C,2.1048057,1.0522867
24646C,0.18267241,-0.6200548
20888G,-2.8031402,0.19163819
20340K,-1.5418426,1.1032965
12489W,2.3453772,-0.0005443394
20177Z,0.99278957,0.10839973
21601R,0.70765495,-0.19778882
20590H,0.40402395,0.9825228
21559S,0.9299949,-0.9634491
16258X,-1.1977394,0.9569119
17689D,0.96106225,-1.2495812
16031V,-0.106491566,-0.4483754
11802V,-0.23711462,-2.294195
25829P,-1.4217175,-0.0078002303
14940W,1.4610755,0.5960477
19372K,0.7549073,-0.4083057
12152N,-2.1856103,0.8067013
21608F,0.056177966,1.5535791
17469P,1.325175,-1.3158634
13651K,-0.48681608,-1.0242316
10137H,-0.761224,-0.61465085
14185M,-0.27290916,1.0105698
20753J,1.2702312,-0.028415972
18721E,-0.24989983,1.078788
19648Z,0.41868964,-0.57056594
25997K,-1.5054606,1.2356685
14660Q,-1.1400114,-1.6716954
